d1: -33.5847, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.8068, 4.8768, -7.46064
d4: -26.0096, 2.98339, -4.65505
d1: -33.5501, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.7757, 4.8768, -7.47589
d4: -26.0096, 3.00176, -4.62567
d1: -33.517, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.746, 4.8768, -7.49042
d4: -26.0096, 3.01927, -4.59765
d1: -33.4852, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.7174, 4.8768, -7.50441
d4: -26.0096, 3.03613, -4.57067
d1: -33.449, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.6849, 4.8768, -7.52034
d4: -26.0096, 3.05532, -4.53997
d1: -33.4171, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.6563, 4.8768, -7.53435
d4: -26.0096, 3.07221, -4.51295
d1: -33.3853, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.6277, 4.8768, -7.54837
d4: -26.0096, 3.0891, -4.48592
d1: -33.3535, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.5991, 4.8768, -7.56236
d4: -26.0096, 3.10595, -4.45895
d1: -33.3214, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.5703, 4.8768, -7.57648
d4: -26.0096, 3.12297, -4.43174
d1: -33.286, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.5385, 4.8768, -7.59206
d4: -26.0096, 3.14173, -4.40171
d1: -33.2521, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.5081, 4.8768, -7.60693
d4: -26.0096, 3.15966, -4.37302
d1: -33.2191, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.4784, 4.8768, -7.62147
d4: -26.0096, 3.17718, -4.345
d1: -33.1875, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.4501, 4.8768, -7.63536
d4: -26.0096, 3.19391, -4.31822
d1: -33.1524, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.4186, 4.8768, -7.6508
d4: -26.0096, 3.21251, -4.28847
d1: -33.122, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.3912, 4.8768, -7.66418
d4: -26.0096, 3.22864, -4.26266
d1: -33.0882, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.3609, 4.8768, -7.67906
d4: -26.0096, 3.24656, -4.23398
d1: -33.0585, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.3342, 4.8768, -7.69211
d4: -26.0096, 3.26228, -4.20883
d1: -33.0283, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.3071, 4.8768, -7.70538
d4: -26.0096, 3.27828, -4.18323
d1: -32.9976, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.2795, 4.8768, -7.71891
d4: -26.0096, 3.29458, -4.15715
d1: -32.9679, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.2528, 4.8768, -7.73197
d4: -26.0096, 3.31032, -4.13197
d1: -32.938, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.226, 4.8768, -7.74513
d4: -26.0096, 3.32617, -4.10661
d1: -32.9085, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.1995, 4.8768, -7.7581
d4: -26.0096, 3.34181, -4.08159
d1: -32.8765, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.1707, 4.8768, -7.77219
d4: -26.0096, 3.35877, -4.05444
d1: -32.8469, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.1442, 4.8768, -7.78517
d4: -26.0096, 3.37442, -4.0294
d1: -32.8173, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.1176, 4.8768, -7.79819
d4: -26.0096, 3.3901, -4.00431
d1: -32.7881, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.0914, 4.8768, -7.81106
d4: -26.0096, 3.40561, -3.97951
d1: -32.7573, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.0637, 4.8768, -7.82461
d4: -26.0096, 3.42194, -3.95337
d1: -32.728, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.0374, 4.8768, -7.83747
d4: -26.0096, 3.43744, -3.92858
d1: -32.6987, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.011, 4.8768, -7.85039
d4: -26.0096, 3.453, -3.90367
d1: -32.6693, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.9846, 4.8768, -7.86332
d4: -26.0096, 3.46859, -3.87874
d1: -32.6393, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.9578, 4.8768, -7.87649
d4: -26.0096, 3.48445, -3.85336
d1: -32.6093, 1.6256, -11.3792
